<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
050424;175000;92.475;92.485;92.475;92.475;2296000
050424;175100;92.475;92.495;92.475;92.495;386000
050424;175200;92.4925;92.4975;92.49;92.495;360000
050424;175300;92.4975;92.5;92.4925;92.5;1255000
050424;175400;92.5;92.5;92.5;92.5;5000
050424;175500;92.5;92.5025;92.495;92.5025;1540000
050424;175600;92.4975;92.4975;92.4975;92.4975;226000
050424;175700;92.4975;92.5;92.49;92.4925;807000
050424;175800;92.5;92.5;92.49;92.49;102000
050424;175900;92.49;92.49;92.4775;92.4775;1350000
050424;180000;92.4775;92.4775;92.475;92.475;351000
050424;180100;92.475;92.485;92.475;92.485;356000
050424;180200;92.485;92.495;92.48;92.4825;381000
050424;180300;92.48;92.485;92.475;92.475;660000
050424;180400;92.475;92.4775;92.47;92.4775;1238000
050424;180500;92.4775;92.4775;92.47;92.47;461000
050424;180600;92.4725;92.4825;92.4725;92.4775;893000
050424;180700;92.4775;92.485;92.47;92.48;424000
050424;180800;92.48;92.48;92.47;92.47;1033000
050424;180900;92.47;92.4725;92.47;92.4725;765000
050424;181000;92.4725;92.475;92.455;92.47;800000
050424;181100;92.4575;92.485;92.4575;92.485;177000
050424;181200;92.4825;92.4825;92.4825;92.4825;1000
050424;181300;92.48;92.4825;92.48;92.48;1100000
050424;181400;92.48;92.4875;92.48;92.485;731000
050424;181500;92.485;92.49;92.485;92.49;493000
050424;181600;92.49;92.5;92.49;92.5;930000
050424;181700;92.5;92.5025;92.4925;92.5025;1209000
050424;181800;92.5;92.5;92.495;92.5;1073000
050424;181900;92.5;92.5025;92.495;92.5025;1279000
050424;182000;92.5;92.5;92.5;92.5;149000
050424;182100;92.495;92.5;92.4925;92.5;25000
050424;182200;92.495;92.505;92.4925;92.505;467000
050424;182300;92.505;92.515;92.5025;92.515;566000
050424;182400;92.515;92.525;92.5125;92.52;985000
050424;182500;92.51;92.5225;92.51;92.52;458000
050424;182600;92.52;92.5225;92.51;92.5225;640000
050424;182700;92.5225;92.5275;92.5125;92.5225;935000
050424;182800;92.5275;92.5325;92.52;92.5325;1014000
050424;182900;92.5325;92.5375;92.52;92.5325;618000
050424;183000;92.53;92.56;92.52;92.535;2269000
050424;183100;92.5325;92.555;92.5325;92.5475;1029000
050424;183200;92.545;92.55;92.5325;92.54;874000
050424;183300;92.54;92.56;92.53;92.55;3334000
050424;183400;92.55;92.56;92.54;92.555;1360000
050424;183500;92.5425;92.56;92.5425;92.55;716000
050424;183600;92.555;92.5625;92.54;92.55;1486000
050424;183700;92.5575;92.5575;92.54;92.55;1044000
050424;183800;92.555;92.5625;92.54;92.54;485000
050424;183900;92.555;92.5575;92.54;92.5475;1167000
050424;184000;92.5475;92.56;92.54;92.54;531000
050424;184100;92.5475;92.555;92.54;92.54;640000
050424;184200;92.54;92.555;92.5225;92.5225;1249000
